ka	か
ki	き
ku	く
ke	け
ko	こ
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
gwa	ぐぁ
gwi	ぐぃ
gwu	ぐぅ
gwe	ぐぇ
gwo	ぐぉ
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
sa	さ
si	し
shi	し
su	す
se	せ
so	そ
sha	しゃ
sya	しゃ
syi	しぃ
shu	しゅ
syu	しゅ
she	しぇ
sye	しぇ
sho	しょ
syo	しょ
za	ざ
ji	じ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
ja	じゃ
jya	じゃ
jyi	じぃ
ju	じゅ
jyu	じゅ
je	じぇ
jye	じぇ
jo	じょ
jyo	じょ
ta	た
ti	ち
chi	ち
tu	つ
tsu	つ
te	て
to	と
thi	てぃ
the	てぇ
cha	ちゃ
tya	ちゃ
tyi	ちぃ
chu	ちゅ
tyu	ちゅ
che	ちぇ
tye	ちぇ
tyo	ちょ
cho	ちょ
twa	とぁ
twi	とぃ
twu	とぅ
twe	とぇ
two	とぉ
da	だ
di	ぢ
du	づ
de	で
do	ど
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
dha	でゃ
dhi	でぃ
dhu	でゅ
dhe	でぇ
dho	でょ
na	な
ni	に
nu	ぬ
ne	ね
no	の
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
ha	は
hi	ひ
hu	ふ
fu	ふ
he	へ
ho	ほ
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
fa	ふぁ
fi	ふぃ
fe	ふぇ
fo	ふぉ
fya	ふゃ
fyu	ふゅ
fyo	ふょ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
ye	いぇ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
wa	わ
wo	を
wha	うぁ
wi	うぃ
whi	うぃ
we	うぇ
whe	うぇ
who	うぉ
va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ
xa	ぁ
xi	ぃ
xu	ぅ
xe	ぇ
xo	ぉ
xtu	っ
xtsu	っ
xya	ゃ
xyu	ゅ
xyo	ょ
nn	ん
n	ん
a	あ
i	い
u	う
e	え
o	お
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
ltu	っ
ltsu	っ
lya	ゃ
lyu	ゅ
lyo	ょ
kka	っか
kki	っき
kku	っく
kke	っけ
kko	っこ
kkya	っきゃ
kkyi	っきぃ
kkyu	っきゅ
kkye	っきぇ
kkyo	っきょ
gga	っが
ggi	っぎ
ggu	っぐ
gge	っげ
ggo	っご
gya	っぎゃ
ggyi	っぎぃ
ggyu	っぎゅ
ggye	っぎぇ
ggyo	っぎょ
ssa	っさ
ssi	っし
sshi	っし
ssu	っす
sse	っせ
sso	っそ
ssha	っしゃ
ssya	っしゃ
ssyi	っしぃ
sshu	っしゅ
